ISO,Deaths
AFG,318.55
ALB,156.765
DZA,91.175
AND,81.520004
AGO,95.630005
ATG,87.815
ARG,93.75
ARM,234.39001
AUS,71.604996
AUT,88.515
AZE,247.03
BHS,58.94
BHR,72.5
BGD,56.145
BRB,64.025
BLR,394.02502
BEL,73.475006
BLZ,114.03999
BEN,73.045
BTN,79.634995
BOL,85.28
BIH,137.95999
BWA,39.920002
BRA,92.66
BRN,98.08
BGR,203.555
BFA,74.555
BDI,81.305
KHM,160.565
CMR,74.075
CAN,82.725
CPV,53.815002
CAF,117.37
TCD,62.32
CHL,55.995003
CHN,70.475
COL,105.255005
COM,70.335
COG,120.475
CRI,76.685
CIV,80.455
HRV,142.545
CUB,120.465
CYP,93.665
CZE,145.465
PRK,90.380005
COD,93.41
DNK,85.42999
DJI,67.28
DMA,65.295
DOM,150.08
ECU,57.260002
EGY,197.92499
SLV,106.259995
GNQ,80.65
ERI,75.600006
EST,194.41501
ETH,43.21
FJI,232.31999
FIN,100.87
FRA,48.405
GAB,106.555
GMB,69.81
GEO,249.78
DEU,90.255005
GHA,81.905
GRC,99.565
GRD,118.8
GTM,80.104996
GIN,74.445
GNB,80.075
GUY,202.855
HTI,112.759995
HND,152.83499
HUN,187.375
ISL,76.89
IND,145.05
IDN,80.18
IRN,173.87
IRQ,181.655
IRL,94.41
ISR,68.34
ITA,64.5
JAM,67.935
JPN,35.93
JOR,128.36
KAZ,361.22998
KEN,45.15
KIR,85.05499
KWT,125.130005
KGZ,313.23502
LAO,153.925
LVA,231.88998
LBN,162.62
LSO,69.130005
LBR,59.480003
LBY,166.66
LTU,235.70999
LUX,71.75
MKD,158.47
MDG,100.94
MWI,92.565
MYS,157.26001
MDV,56.975
MLI,79.295
MLT,110.51
MHL,112.04001
MRT,68.965
MUS,157.2
MEX,85.259995
FSM,113.06
MNG,311.125
MNE,143.055
MAR,83.14
MOZ,38.245003
MMR,84.05
NAM,77.33
NPL,79.16
NLD,58.73
NZL,80.945
NIC,119.175
NER,61.76
NGA,48.67
NOR,73.455
OMN,111.165
PAK,107.795
PAN,84.38
PNG,73.89
PRY,106.479996
PER,58.715004
PHL,154.545
POL,137.66
PRT,58.195
QAT,83.285
KOR,36.79
MDA,342.33002
ROU,184.25
RUS,316.415
RWA,63.63
LCA,78.42
VCT,117.380005
WSM,48.364998
STP,46.845
SAU,115.740005
SEN,38.425003
SRB,133.63
SYC,184.495
SLE,69.875
SGP,92.145004
SVK,225.225
SVN,78.11
SLB,118.07
SOM,65.43
ZAF,62.265
ESP,56.504997
LKA,143.225
SDN,38.445
SUR,88.495
SWZ,89.229996
SWE,86.335
CHE,74.985
SYR,212.70499
TJK,285.125
TZA,41.03
THA,79.375
TLS,137.76001
TGO,68.81
TON,84.479996
TTO,185.7
TUN,130.365
TUR,153.34
TKM,392.275
UGA,56.905
UKR,385.805
ARE,152.86
GBR,80.695
USA,99.865005
URY,85.0
UZB,352.315
VUT,119.41
VEN,119.92999
VNM,40.085
YEM,150.79001
ZMB,78.415
ZWE,70.095
HIA,102.33334
LIA,95.1048
LMA,128.9015
UMA,136.515
HIM,83.935
LIM,73.395
LMM,99.815
UMM,118.8
HWW,108.153305
LIW,78.987854
LMW,129.5635
UMW,92.22771
WLD,106.814995
EAS,74.85
ECS,286.03
LCN,92.259995
MEA,160.125
SAS,134.47
SSF,61.765
# Series: DEHDFEIN,NaN
"# Name: Deaths per 100,000, Ischemic heart disease, female",NaN
"# Definition: The mean number of deaths per 100,000 attributable to cause of disease or death",NaN
# Source: Global Burden of Disease by Institute for Health Metrics and Evaluation (GBD by IHME),NaN
# Data from the No Ceilings project: http://noceilings.org,NaN
"# For more about the data, please visit http://noceilings.org/data",NaN
